lower guild,upper guild,lower taxon,upper taxon,estimated interaction strength,direct interaction
plant,flower visitor,Rubus fruticosus,Neoascia podagrica,9.941E+01,1
plant,flower visitor,Rubus fruticosus,Oedemera nobilis,1.388E+02,1
plant,flower visitor,Rubus fruticosus,Pegoplata aestiva or Adia cinerella,8.909E+01,1
plant,flower visitor,Rubus fruticosus,Platycheirus albimanus,1.927E+02,1
plant,flower visitor,Rubus fruticosus,Platycheirus nielseni,1.969E+01,1
plant,flower visitor,Rubus fruticosus,Platycheirus peltatus,1.969E+01,1
plant,flower visitor,Rubus fruticosus,Pollenia pediculata,1.969E+01,1
plant,flower visitor,Rubus fruticosus,Rhagonycha fulva,1.969E+01,1
plant,flower visitor,Rubus fruticosus,Rhinophora lepida,7.878E+01,1
plant,flower visitor,Rubus fruticosus,Scathophaga stercoraria,4.971E+01,1
plant,flower visitor,Rubus fruticosus,Sepsis cynipsea or neocynipsea,1.969E+01,1
plant,flower visitor,Rubus fruticosus,Sepsis flavimana,3.939E+01,1
plant,flower visitor,Rubus fruticosus,Siphona geniculata,1.492E+02,1
plant,flower visitor,Rubus fruticosus,Sphaerophoria sp,1.969E+01,1
plant,flower visitor,Rubus fruticosus,Syritta pipiens,1.969E+01,1
plant,flower visitor,Rubus fruticosus,Trybliographa erythrocera,3.939E+01,1
plant,flower visitor,Senacio jacobaea,Botanophila fugax,1.306E+01,1
plant,flower visitor,Senacio jacobaea,Calliphora vomitoria,6.532E+00,1
plant,flower visitor,Senacio jacobaea,Eriothrix rufomaculata,6.532E+00,1
plant,flower visitor,Senacio jacobaea,Eristalis arbustorum,1.306E+01,1
plant,flower visitor,Senacio jacobaea,Eristalis pertinax,1.306E+01,1
plant,flower visitor,Senacio jacobaea,Eristalis tenax,1.742E+01,1
plant,flower visitor,Senacio jacobaea,Eupeodes corollae,6.532E+00,1
plant,flower visitor,Senacio jacobaea,Herina longistylata,6.532E+00,1
plant,flower visitor,Senacio jacobaea,Lucilia caesar,6.532E+00,1
plant,flower visitor,Senacio jacobaea,Lucilia richardsi,6.532E+00,1
plant,flower visitor,Senacio jacobaea,Lucilia sericata,6.532E+00,1
plant,flower visitor,Senacio jacobaea,Melinda viridicyanea,1.306E+01,1
plant,flower visitor,Senacio jacobaea,Neomyia cornicina,1.306E+01,1
plant,flower visitor,Senacio jacobaea,Neomyia viridescens,6.532E+00,1
plant,flower visitor,Senacio jacobaea,Platycheirus albimanus,6.532E+00,1
plant,flower visitor,Senacio jacobaea,Psocoptera sp,6.532E+00,1
plant,flower visitor,Senacio jacobaea,Pyronia tithonus,1.959E+01,1
plant,flower visitor,Senacio jacobaea,Sicus ferrugineus,6.532E+00,1
plant,flower visitor,Senacio jacobaea,Sphaerophoria rueppellii,6.532E+00,1
plant,flower visitor,Senacio jacobaea,Sphaerophoria scripta,6.532E+00,1
plant,flower visitor,Senacio jacobaea,Sphaerophoria sp,5.878E+01,1
plant,flower visitor,Senacio jacobaea,Syritta pipiens,1.306E+01,1
plant,flower visitor,Silene dioica,Bicellaria vana,1.969E+01,1
plant,flower visitor,Silene dioica,Bicellaria varia,3.939E+01,1
plant,flower visitor,Silene dioica,Bracon sp,1.969E+01,1
plant,flower visitor,Silene dioica,Empis livida,3.939E+01,1
plant,flower visitor,Silene dioica,Melanostoma scalare,1.969E+01,1
plant,flower visitor,Silene dioica,Ophiomyia sp,3.939E+01,1
plant,flower visitor,Silene dioica,Pipiza noctiluca,1.969E+01,1
plant,flower visitor,Silene dioica,Platycheirus albimanus,1.969E+01,1
plant,flower visitor,Sinapis arvensis,Andrena dorsata,7.476E+02,1
plant,flower visitor,Sinapis arvensis,Cantharis nigra,1.801E+03,1
plant,flower visitor,Sinapis arvensis,Centrorhynchus obstrictus,1.801E+03,1
plant,flower visitor,Sinapis arvensis,Cephus pygmaeus,7.476E+02,1
plant,flower visitor,Sinapis arvensis,Cetema elongata,7.204E+02,1
plant,flower visitor,Sinapis arvensis,Chrysotus sp,7.204E+02,1
plant,flower visitor,Sinapis arvensis,Delia sp,7.231E+03,1
plant,flower visitor,Sinapis arvensis,Diospilus capito,7.204E+02,1
plant,flower visitor,Sinapis arvensis,Empis livida,1.409E+04,1
plant,flower visitor,Sinapis arvensis,Lonchoptera lutea,7.204E+02,1
plant,flower visitor,Sinapis arvensis,Melanostoma mellinum,6.656E+02,1
plant,flower visitor,Sinapis arvensis,Olibrus aeneus,1.801E+03,1
plant,flower visitor,Sinapis arvensis,Oscinella frit,2.161E+03,1
plant,flower visitor,Sinapis arvensis,Pegoplata aestiva or Adia cinerella,1.522E+03,1
plant,flower visitor,Sinapis arvensis,Phradis morionellus,7.204E+02,1
plant,flower visitor,Sinapis arvensis,Scathophaga stercoraria,6.656E+02,1
plant,flower visitor,Sinapis arvensis,Scatopsidae sp,7.204E+02,1
plant,flower visitor,Sinapis arvensis,Sphaerophoria scripta,1.109E+03,1
plant,flower visitor,Sinapis arvensis,Tetramesa sp,7.476E+02,1
plant,flower visitor,Sonchus asper/oleraceus,Apis mellifera,6.532E+00,1
plant,flower visitor,Sonchus asper/oleraceus,Helophilus pendulus,7.476E+02,1
plant,flower visitor,Sonchus asper/oleraceus,Pegoplata aestiva or Adia cinerella,1.353E+03,1
plant,flower visitor,Sonchus asper/oleraceus,Sphaerophoria scripta,7.476E+02,1
plant,flower visitor,Sonchus asper/oleraceus,Sphaerophoria sp,6.532E+00,1
plant,flower visitor,Spergula arvensis,Empis nuntia,6.963E+02,1
plant,flower visitor,Stachys sylvatica,Bombus hortorum,2.944E+02,1
plant,flower visitor,Stellaria graminea,Empis livida,2.613E+01,1
plant,flower visitor,Torilis japonica,Cheilosia pagana,4.971E+01,1
plant,flower visitor,Torilis japonica,Cheilosia proxima,4.971E+01,1
plant,flower visitor,Torilis japonica,Cheilosia proxima D,4.971E+01,1
plant,flower visitor,Torilis japonica,Coenosia tigrina,4.971E+01,1
plant,flower visitor,Torilis japonica,Copromyza similes,3.939E+01,1
plant,flower visitor,Torilis japonica,Ectemnius cephalotes,4.971E+01,1
plant,flower visitor,Torilis japonica,Episyrphus balteatus,1.388E+02,1
plant,flower visitor,Torilis japonica,Melanostoma scalare,3.939E+01,1
plant,flower visitor,Torilis japonica,Musca autumnalis,4.971E+01,1
plant,flower visitor,Torilis japonica,Neoascia podagrica,5.252E+01,1
plant,flower visitor,Torilis japonica,Neomyia cornicina,4.971E+01,1
plant,flower visitor,Torilis japonica,Oscinella nitidissima,4.971E+01,1
plant,flower visitor,Torilis japonica,Pegoplata infirma,4.971E+01,1
plant,flower visitor,Torilis japonica,Plagiatrochus sp,3.939E+01,1
plant,flower visitor,Torilis japonica,Platycheirus albimanus,1.285E+02,1
plant,flower visitor,Torilis japonica,Platycheirus clypeatus,4.971E+01,1
plant,flower visitor,Torilis japonica,Pollenia pediculata,4.971E+01,1
plant,flower visitor,Torilis japonica,Rhagonycha fulva,9.941E+01,1
plant,flower visitor,Torilis japonica,Rhinophora lepida,3.939E+01,1
plant,flower visitor,Torilis japonica,Sepsis flavimana,3.939E+01,1
plant,flower visitor,Torilis japonica,Sussaba cognata,3.939E+01,1
plant,flower visitor,Trifolium pratense/repens,Alysiinae sp,4.762E+02,1
plant,flower visitor,Trifolium pratense/repens,Anthomyia pluvialis,6.049E+02,1
plant,flower visitor,Trifolium pratense/repens,Apis mellifera,3.654E+03,1
plant,flower visitor,Trifolium pratense/repens,Aprostocetus sp,4.762E+02,1
plant,flower visitor,Trifolium pratense/repens,Bombus hortorum,1.210E+03,1
plant,flower visitor,Trifolium pratense/repens,Bombus lapidarius,1.191E+04,1
plant,flower visitor,Trifolium pratense/repens,Bombus pascuorum,8.656E+03,1
plant,flower visitor,Trifolium pratense/repens,Bombus pratorum,7.893E+02,1
plant,flower visitor,Trifolium pratense/repens,Bombus terrestris,5.871E+03,1
plant,flower visitor,Trifolium pratense/repens,Bombus vestalis,9.523E+02,1
plant,flower visitor,Trifolium pratense/repens,Chrysotus sp,1.109E+03,1
plant,flower visitor,Trifolium pratense/repens,Empis livida,2.409E+03,1
plant,flower visitor,Trifolium pratense/repens,Eupeodes corollae,4.762E+02,1
plant,flower visitor,Trifolium pratense/repens,Maniola jurtina,7.396E+02,1
plant,flower visitor,Trifolium pratense/repens,Metasyrphus luniger,4.762E+02,1
plant,flower visitor,Trifolium pratense/repens,Norellisoma spinimanum,1.899E+01,1
plant,flower visitor,Trifolium pratense/repens,Oedemera nobilis,4.971E+01,1
plant,flower visitor,Trifolium pratense/repens,Pegoplata aestiva or Adia cinerella,4.971E+01,1
plant,flower visitor,Trifolium pratense/repens,Phyllobius virideaeris,8.329E+02,1
plant,flower visitor,Trifolium pratense/repens,Platycheirus albimanus,1.969E+01,1
plant,flower visitor,Trifolium pratense/repens,Platypalpus sp,2.219E+03,1
plant,flower visitor,Trifolium pratense/repens,Pollenia amentaria,2.409E+03,1
plant,flower visitor,Trifolium pratense/repens,Pollenia pediculata,9.941E+01,1
plant,flower visitor,Trifolium pratense/repens,Sarcophaga carnaria,6.049E+02,1
plant,flower visitor,Trifolium pratense/repens,Scaptomyza pallida,2.409E+03,1
plant,flower visitor,Trifolium pratense/repens,Scathophaga stercoraria,4.293E+03,1
plant,flower visitor,Trifolium pratense/repens,Scatopsidae sp,1.109E+03,1
plant,flower visitor,Trifolium pratense/repens,Sitona puncticollis,2.409E+03,1
plant,flower visitor,Trifolium pratense/repens,Syrphus ribesii,1.899E+01,1
plant,flower visitor,Veronica chamaedrys,Hercostomus parvilamellatus,7.458E+01,1
plant,flower visitor,Veronica persica,Longitarsus sp,7.204E+02,1
plant,flower visitor,Veronica persica,Pegoplata aestiva or Adia cinerella,1.150E+03,1
plant,flower visitor,Viburnum lanatum,Empis livida,8.709E+00,1
plant,flower visitor,Viburnum lanatum,Pollenia pediculata,6.532E+00,1
plant,flower visitor,Vicia hirsute,Cantharis nigra,1.473E+03,1
plant,flower visitor,Vicia hirsute,Empis livida,2.990E+03,1
plant,flower visitor,Vicia hirsute,Fannia sp,7.476E+02,1
plant,flower visitor,Vicia sativa,Bombus pascuorum,4.971E+01,1
plant,flower visitor,Vicia sativa,Empis livida,9.941E+01,1
plant,flower visitor,Vicia sepium,Syritta pipiens,9.941E+01,1
plant,aphid,× Triticosecale ,Sitobion avenae,2.022E+06,1
plant,aphid,Aphanes arvensis,Myzus persicae,3.738E+04,1
plant,aphid,Avena sativa winter-sown,Metopolophium dihrodum,6.354E+05,1
plant,aphid,Avena sativa winter-sown,Sitobion avenae,8.306E+04,1
plant,aphid,Cerastium fontanum,Myzus persicae,9.818E+04,1
plant,aphid,Cirsium arvense,Capitophorus elaeagnii,4.035E+05,1
plant,aphid,Cirsium arvense,Uroleucon aeneum,9.672E+07,1
plant,aphid,Cirsium arvense,Uroleucon cirsii,6.656E+07,1
plant,aphid,Cirsium vulgare,Hyperomyzus lactucae,8.285E+05,1
plant,aphid,Corylus avellana,Myzocallis coryli,1.597E+03,1
plant,aphid,Crataegus monogyna,Dysaphis species 1,1.451E+02,1
plant,aphid,Euonymus europaeus,Aphis fabae,7.257E+02,1
plant,aphid,Galium aparine,Aphis galiiscabri,4.428E+05,1
plant,aphid,Heracleum sphondylium,Cavariella aegopodii,1.703E+06,1
plant,aphid,Lamiastrum galeobdolon,Aphid species 1,2.486E+03,1
plant,aphid,Matricaria discoidea,Brachycaudus helichrysii,6.053E+05,1
plant,aphid,Matricaria recutita,Brachycaudus helichrysii,1.145E+08,1
plant,aphid,Myosotis arvensis,Brachycaudus helichrysii,5.374E+06,1
plant,aphid,Plantago sp.,Brachycaudus helichrysii,2.381E+04,1
plant,aphid,Poaceae,Cavariella aegopodii,8.218E+03,1
plant,aphid,Poaceae,Metopolophium dihrodum,5.157E+04,1
plant,aphid,Poaceae,Sipha maydis,2.989E+07,1
plant,aphid,Poaceae,Sitobion avenae,2.212E+07,1
plant,aphid,Prunus spinosa,Phorodon humuli,1.132E+04,1
plant,aphid,Ranunculus repens,Tubaphis ranunculina,1.206E+06,1
plant,aphid,Rosa sp.,Sitobion fragariae,3.446E+04,1
plant,aphid,Rubus fruticosus,Macrosiphum funestum,1.045E+05,1
plant,aphid,Rumex sp.,Aphis rumicis,9.202E+06,1
plant,aphid,Scrophularia auriculata,Myzus persicae,2.761E+03,1
plant,aphid,Sinapis arvensis,Lipaphys erysimi,2.010E+06,1
plant,aphid,Sonchus asper/oleraceus,Hyperomyzus lactucae,1.225E+06,1
plant,aphid,Sonchus asper/oleraceus,Uroleucon sonchi,3.226E+05,1
plant,aphid,Stachys sylvatica,Cryptomyzus korschelti,6.629E+03,1
plant,aphid,Trifolium pratense/repens,Acyrthosiphon pisum,2.977E+05,1
plant,aphid,Trifolium pratense/repens,Therioaphis trifoli,6.049E+04,1
plant,aphid,Triticum aestivum,Sitobion avenae,1.528E+07,1
plant,aphid,Urtica dioica,Aphis urticae,5.252E+03,1
plant,aphid,Urtica dioica,Microlophium carnosum,1.425E+05,1
plant,aphid,Veronica arvensis,Nasonvoia ribisnigri,1.949E+05,1
plant,primary aphid parasitoid,× Triticosecale ,Aphidius picipes?,1.285E+04,0
plant,primary aphid parasitoid,× Triticosecale ,Ephedrus plagiator,8.568E+03,0
plant,primary aphid parasitoid,× Triticosecale ,Praon volucre,8.568E+03,0
plant,primary aphid parasitoid,Avena sativa winter-sown,Aphidius matricariae,1.246E+04,0
plant,primary aphid parasitoid,Avena sativa winter-sown,Aphidius picipes?,1.246E+04,0
plant,primary aphid parasitoid,Avena sativa winter-sown,Aphidius rhopalosiphi?,2.077E+04,0
plant,primary aphid parasitoid,Avena sativa winter-sown,Ephedrus plagiator,8.306E+03,0
plant,primary aphid parasitoid,Lamiastrum galeobdolon,Praon exoletum?,8.286E+02,0
plant,primary aphid parasitoid,Matricaria discoidea,Aphidius matricariae,5.523E+02,0
plant,primary aphid parasitoid,Matricaria discoidea,Aphidius rhopalosiphi?,2.209E+03,0
plant,primary aphid parasitoid,Matricaria recutita,Aphidius matricariae,1.246E+04,0
plant,primary aphid parasitoid,Poaceae,Aphidius ervi,6.764E+04,0
plant,primary aphid parasitoid,Poaceae,Aphidius funebris,5.523E+02,0
plant,primary aphid parasitoid,Poaceae,Aphidius picipes?,2.510E+04,0
plant,primary aphid parasitoid,Poaceae,Aphidius rhopalosiphi?,2.383E+03,0
plant,primary aphid parasitoid,Poaceae,Ephedrus plagiator,5.044E+04,0
plant,primary aphid parasitoid,Poaceae,Praon volucre,2.455E+04,0
plant,primary aphid parasitoid,Ranunculus repens,Praon exoletum?,8.568E+03,0
plant,primary aphid parasitoid,Ranunculus repens,Praon sp nr flavinode,1.233E+04,0
plant,primary aphid parasitoid,Ranunculus repens,Praon volucre,2.455E+04,0
plant,primary aphid parasitoid,Rubus fruticosus,Aphidius ervi,3.282E+02,0
plant,primary aphid parasitoid,Sonchus asper/oleraceus,Aphidius ervi,1.008E+04,0
plant,primary aphid parasitoid,Trifolium pratense/repens,Aphidius ervi,9.460E+04,0
plant,primary aphid parasitoid,Trifolium pratense/repens,Aphidius rhopalosiphi?,6.722E+03,0
plant,primary aphid parasitoid,Trifolium pratense/repens,Praon dorsale?,6.722E+03,0
plant,primary aphid parasitoid,Triticum aestivum,Aphidius ervi,9.818E+04,0
plant,primary aphid parasitoid,Triticum aestivum,Aphidius picipes?,2.455E+04,0
plant,primary aphid parasitoid,Triticum aestivum,Aphidius rhopalosiphi?,7.364E+04,0
plant,primary aphid parasitoid,Triticum aestivum,Ephedrus plagiator,4.909E+04,0
plant,primary aphid parasitoid,Triticum aestivum,Praon volucre,7.364E+04,0
plant,primary aphid parasitoid,Urtica dioica,Aphidius ervi,1.157E+03,0
plant,primary aphid parasitoid,Urtica dioica,Trioxys B,1.657E+03,0
plant,secondary aphid parasitoid,Avena sativa winter-sown,Alloxysta victrix,8.306E+03,0
plant,secondary aphid parasitoid,Avena sativa winter-sown,Asaphes suspensus,1.246E+04,0
plant,secondary aphid parasitoid,Cirsium arvense,Alloxysta victrix,5.523E+02,0
plant,secondary aphid parasitoid,Crataegus monogyna,Alloxysta victrix,1.451E+02,0
plant,secondary aphid parasitoid,Lamiastrum galeobdolon,Dendrocerus aphidum,8.286E+02,0
plant,secondary aphid parasitoid,Matricaria discoidea,Asaphes suspensus,3.093E+04,0
plant,secondary aphid parasitoid,Matricaria discoidea,Dendrocerus aphidum,1.657E+03,0
plant,secondary aphid parasitoid,Matricaria discoidea,Dendrocerus carpenteri,5.523E+02,0
plant,secondary aphid parasitoid,Myosotis arvensis,Alloxysta victrix,8.306E+03,0
plant,secondary aphid parasitoid,Myosotis arvensis,Asaphes suspensus,5.814E+04,0
plant,secondary aphid parasitoid,Myosotis arvensis,Dendrocerus aphidum,8.306E+03,0
plant,secondary aphid parasitoid,Poaceae,Alloxysta victrix,5.230E+04,0
plant,secondary aphid parasitoid,Poaceae,Asaphes suspensus,9.903E+03,0
plant,secondary aphid parasitoid,Poaceae,Asaphes vulgaris,9.278E+03,0
plant,secondary aphid parasitoid,Poaceae,Coruna clavata,7.257E+01,0
plant,secondary aphid parasitoid,Poaceae,Dendrocerus aphidum,3.991E+04,0
plant,secondary aphid parasitoid,Poaceae,Dendrocerus carpenteri,2.241E+03,0
plant,secondary aphid parasitoid,Poaceae,Pachyneuron sp,5.523E+02,0
plant,secondary aphid parasitoid,Prunus spinosa,Asaphes vulgaris,3.282E+02,0
plant,secondary aphid parasitoid,Prunus spinosa,Dendrocerus carpenteri,2.188E+02,0
plant,secondary aphid parasitoid,Ranunculus repens,Alloxysta victrix,5.291E+03,0
plant,secondary aphid parasitoid,Rumex sp.,Dendrocerus carpenteri,1.080E+05,0
plant,secondary aphid parasitoid,Trifolium pratense/repens,Alloxysta victrix,6.722E+04,0
plant,secondary aphid parasitoid,Trifolium pratense/repens,Asaphes suspensus,8.215E+04,0
plant,secondary aphid parasitoid,Trifolium pratense/repens,Asaphes vulgaris,2.689E+04,0
plant,secondary aphid parasitoid,Trifolium pratense/repens,Dendrocerus carpenteri,6.722E+03,0
plant,secondary aphid parasitoid,Triticum aestivum,Alloxysta victrix,1.391E+05,0
plant,secondary aphid parasitoid,Triticum aestivum,Asaphes suspensus,2.127E+05,0
plant,secondary aphid parasitoid,Triticum aestivum,Asaphes vulgaris,4.909E+04,0
plant,secondary aphid parasitoid,Triticum aestivum,Dendrocerus carpenteri,2.946E+05,0
plant,secondary aphid parasitoid,Urtica dioica,Alloxysta victrix,8.753E+02,0
plant,leaf-miner parasitoid,× Triticosecale ,Diglyphus isaea,3.868E+03,1
plant,leaf-miner parasitoid,× Triticosecale ,Seladerma diffine,3.868E+03,1
plant,leaf-miner parasitoid,Acer campestre,Achrysocharoides acerianus,1.129E+04,1
plant,leaf-miner parasitoid,Acer campestre,Microgastrinae sp,5.647E+03,1
plant,leaf-miner parasitoid,Anthriscus sylvestris,Dacnusa maculipes/confinis,6.565E+02,1
plant,leaf-miner parasitoid,Anthriscus sylvestris,Exotela cyclogaster,2.188E+02,1
plant,leaf-miner parasitoid,Anthriscus sylvestris,Miscogaster maculata,6.565E+02,1
plant,leaf-miner parasitoid,Arctium minus,Anagrus sp A,8.286E+02,1
plant,leaf-miner parasitoid,Arctium minus,Chrysocharis viridis,2.486E+03,1
plant,leaf-miner parasitoid,Avena sativa spring-sown,Dacnusa maculipes/confinis,1.601E+04,1
plant,leaf-miner parasitoid,Avena sativa spring-sown,Diglyphus isaea,2.801E+04,1
plant,leaf-miner parasitoid,Bellis perennis,Desmiostoma parvulum,4.931E+04,1
plant,leaf-miner parasitoid,Cerastium fontanum,Pnigalio soemius,1.930E+04,1
plant,leaf-miner parasitoid,Chaerophyllum temulum,Diglyphus isaea,8.286E+02,1
plant,leaf-miner parasitoid,Cirsium arvense,Alysiinae sp,3.868E+03,1
plant,leaf-miner parasitoid,Cirsium arvense,Anagrus sp B,1.900E+04,1
plant,leaf-miner parasitoid,Cirsium arvense,Asaphes suspensus,6.391E+03,1
plant,leaf-miner parasitoid,Cirsium arvense,Campoplex sp,9.676E+01,1
plant,leaf-miner parasitoid,Cirsium arvense,Chelonus sp,1.542E+03,1
plant,leaf-miner parasitoid,Cirsium arvense,Chelonus sp aff rimatus,6.565E+02,1
plant,leaf-miner parasitoid,Cirsium arvense,Chrysocharis orbicularis,4.087E+03,1
plant,leaf-miner parasitoid,Cirsium arvense,Chrysocharis pubicornis,2.463E+04,1
plant,leaf-miner parasitoid,Cirsium arvense,Chrysocharis viridis,6.606E+04,1
plant,leaf-miner parasitoid,Cirsium arvense,Cyrtogaster vulgaris,7.018E+03,1
plant,leaf-miner parasitoid,Cirsium arvense,Dacnusa areolaris,1.955E+04,1
plant,leaf-miner parasitoid,Cirsium arvense,Dacnusa maculipes/confinis,1.895E+04,1
plant,leaf-miner parasitoid,Cirsium arvense,Dacnusa tarsalis,3.550E+05,1
plant,leaf-miner parasitoid,Cirsium arvense,Diglyphus isaea,4.102E+05,1
plant,leaf-miner parasitoid,Cirsium arvense,Exotela spinifer,1.906E+03,1
plant,leaf-miner parasitoid,Cirsium arvense,Forsterella sp,2.199E+03,1
plant,leaf-miner parasitoid,Cirsium arvense,Gelis bicolor,1.542E+03,1
plant,leaf-miner parasitoid,Cirsium arvense,Hemiptarsenus dropion,9.676E+01,1
plant,leaf-miner parasitoid,Cirsium arvense,Hemiptarsenus unguicellus,6.163E+03,1
plant,leaf-miner parasitoid,Cirsium arvense,Miscogaster maculata,9.676E+01,1
plant,leaf-miner parasitoid,Cirsium arvense,Opius sensu stricto lugens,1.338E+04,1
plant,leaf-miner parasitoid,Cirsium arvense,Phaedrotoma exigua,6.391E+03,1
plant,leaf-miner parasitoid,Cirsium arvense,Pnigalio soemius,7.257E+01,1
plant,leaf-miner parasitoid,Cirsium arvense,Seladerma diffine,6.791E+05,1
plant,leaf-miner parasitoid,Cirsium arvense,Seladerma tarsale,2.732E+04,1
plant,leaf-miner parasitoid,Cirsium vulgare,Dacnusa maculipes/confinis,4.376E+02,1
plant,leaf-miner parasitoid,Cirsium vulgare,Dacnusa tarsalis,6.554E+02,1
plant,leaf-miner parasitoid,Cirsium vulgare,Opiinae sp,5.523E+02,1
plant,leaf-miner parasitoid,Cirsium vulgare,Seladerma diffine,5.523E+02,1
plant,leaf-miner parasitoid,Corylus avellana,Colastes braconius,8.286E+02,1
plant,leaf-miner parasitoid,Crataegus monogyna,Achrysocharoides atys,1.531E+03,1
plant,leaf-miner parasitoid,Crataegus monogyna,Chrysocharis pentheus,1.935E+02,1
plant,leaf-miner parasitoid,Crataegus monogyna,Pnigalio soemius,9.676E+01,1
plant,leaf-miner parasitoid,Crataegus monogyna,Sympiesis sericeicornis,8.286E+02,1
plant,leaf-miner parasitoid,Dipsacus fullonum,Anagrus sp C,5.523E+02,1
plant,leaf-miner parasitoid,Dipsacus fullonum,Chorebus tanis,5.523E+02,1
plant,leaf-miner parasitoid,Glechoma hederacea,Colastes braconius,2.188E+02,1
plant,leaf-miner parasitoid,Heracleum sphondylium,Aphanogmus sp,5.523E+02,1
plant,leaf-miner parasitoid,Heracleum sphondylium,Apodesmia ocellata,7.711E+02,1
plant,leaf-miner parasitoid,Heracleum sphondylium,Chrysocharis pentheus,5.523E+02,1
plant,leaf-miner parasitoid,Heracleum sphondylium,Chrysocharis viridis,6.722E+03,1
plant,leaf-miner parasitoid,Heracleum sphondylium,Colastes braconius,2.918E+02,1
plant,leaf-miner parasitoid,Heracleum sphondylium,Dacnusa laevipectus,9.204E+03,1
plant,leaf-miner parasitoid,Heracleum sphondylium,Dacnusa maculipes/confinis,1.657E+03,1
plant,leaf-miner parasitoid,Heracleum sphondylium,Diglyphus isaea,1.626E+04,1
plant,leaf-miner parasitoid,Heracleum sphondylium,Exotela cyclogaster,5.106E+02,1
plant,leaf-miner parasitoid,Heracleum sphondylium,Synopeas rhanis,5.523E+02,1
plant,leaf-miner parasitoid,Hordeum vulgare,Cirrospilus vittatus,4.002E+03,1
plant,leaf-miner parasitoid,Hordeum vulgare,Dacnusa maculipes/confinis,4.002E+03,1
plant,leaf-miner parasitoid,Hordeum vulgare,Diglyphus isaea,1.601E+04,1
plant,leaf-miner parasitoid,Hordeum vulgare,Hemiptarsenus unguicellus,8.004E+03,1
plant,leaf-miner parasitoid,Lonicera periclymenum,Diglyphus isaea,2.188E+02,1
plant,leaf-miner parasitoid,Medicago sativa ssp. sativa,Chrysocharis pentheus,1.900E+04,1
plant,leaf-miner parasitoid,Medicago sativa ssp. sativa,Dacnusa maculipes/confinis,6.333E+03,1
plant,leaf-miner parasitoid,Medicago sativa ssp. sativa,Diglyphus isaea,1.393E+05,1
plant,leaf-miner parasitoid,Medicago sativa ssp. sativa,Pnigalio soemius,6.333E+03,1
plant,leaf-miner parasitoid,Poaceae,Alysiinae sp,1.478E+04,1
plant,leaf-miner parasitoid,Poaceae,Apodesmia irregularis,3.314E+03,1
plant,leaf-miner parasitoid,Poaceae,Apodesmia similis,1.241E+04,1
plant,leaf-miner parasitoid,Poaceae,Bracon sp,1.105E+03,1
plant,leaf-miner parasitoid,Poaceae,Chorebus A,2.188E+02,1
plant,leaf-miner parasitoid,Poaceae,Chorebus aphantus,9.953E+04,1
plant,leaf-miner parasitoid,Poaceae,Chorebus B,4.700E+03,1
plant,leaf-miner parasitoid,Poaceae,Chorebus C,5.523E+02,1
plant,leaf-miner parasitoid,Poaceae,Chorebus E,3.314E+03,1
plant,leaf-miner parasitoid,Poaceae,Chrysocharis orbicularis,3.314E+03,1
plant,leaf-miner parasitoid,Poaceae,Chrysocharis pentheus,7.706E+03,1
plant,leaf-miner parasitoid,Poaceae,Chrysocharis polyzo,1.774E+03,1
plant,leaf-miner parasitoid,Poaceae,Chrysocharis pubicornis,6.583E+04,1
plant,leaf-miner parasitoid,Poaceae,Colastes braconius,1.363E+04,1
plant,leaf-miner parasitoid,Poaceae,Coloneura (ate),7.257E+01,1
plant,leaf-miner parasitoid,Poaceae,Cyrtogaster vulgaris,1.073E+05,1
plant,leaf-miner parasitoid,Poaceae,Dacnusa adducta,2.188E+02,1
plant,leaf-miner parasitoid,Poaceae,Dacnusa areolaris,1.028E+05,1
plant,leaf-miner parasitoid,Poaceae,Dacnusa maculipes/confinis,2.173E+05,1
plant,leaf-miner parasitoid,Poaceae,Dacnusa tarsalis,1.657E+04,1
plant,leaf-miner parasitoid,Poaceae,Dapsilarthra rufiventris,2.445E+04,1
plant,leaf-miner parasitoid,Poaceae,Diglyphus chabrias,2.188E+02,1
plant,leaf-miner parasitoid,Poaceae,Diglyphus isaea,2.252E+05,1
plant,leaf-miner parasitoid,Poaceae,Epiclerus temenus,1.451E+02,1
plant,leaf-miner parasitoid,Poaceae,Eulophinae sp,2.497E+04,1
plant,leaf-miner parasitoid,Poaceae,Exotela flavicoxa,8.286E+02,1
plant,leaf-miner parasitoid,Poaceae,Forsterella sp,1.657E+03,1
plant,leaf-miner parasitoid,Poaceae,Gelis anthracinus,1.542E+03,1
plant,leaf-miner parasitoid,Poaceae,Hemiptarsenus dropion,3.138E+04,1
plant,leaf-miner parasitoid,Poaceae,Hemiptarsenus fulvicollis,5.734E+04,1
plant,leaf-miner parasitoid,Poaceae,Hemiptarsenus unguicellus,1.221E+05,1
plant,leaf-miner parasitoid,Poaceae,Miscogaster maculata,2.714E+04,1
plant,leaf-miner parasitoid,Poaceae,Opiinae sp,7.964E+03,1
plant,leaf-miner parasitoid,Poaceae,Pediobius acantha,1.915E+03,1
plant,leaf-miner parasitoid,Poaceae,Phaedrotoma exigua,8.841E+03,1
plant,leaf-miner parasitoid,Poaceae,Phaedrotoma variegata,1.657E+03,1
plant,leaf-miner parasitoid,Poaceae,Pnigalio soemius,8.309E+03,1
